Inferno Games,9.5,7.8
Infinite Dreams/ Paragon 5,9.5,8.1
Tecmo/ Graphic Research,9.4,7.9
Telenet,9.3,7.2
Pax Softonica,9.3,7.2
Housemarque,9.2,7.4
Activision Value,9.2,7
Milestone,9.1,6.2
Quest,9.1,8.8
Codo Games,9.1,7.8
Rockstar Vancouver,9.1,8.7
Victor Interactive Software,9.05,7.9
Marvelous,9.025,7.8
Flagship,9,8.9
Roxor Games,9,7.2
Swingin' Ape,9,8.25
Software Creations,9,7.9
GREZZO,9,8.9
NATSUME ATARI Inc.,9,8.1
Oddworld Inhabitants,8.975,8.525
Retro Studios,8.966666666666667,9
Blizzard North,8.95,8.75
Prolific,8.9,2.7
Kronos Digital Entertainment,8.9,8.4
NEC Interchannel,8.9,7.8
Inti,8.9,7.925
Inti/ Inti Creates,8.9,7.8
Monolith Soft/ Namco Bandai Games,8.9,7.5
Nintendo EAD Tokyo,8.85,8.9
Koei/Inis,8.85,7.65
Overworks,8.833333333333334,8.266666666666667
CD Projekt Red Studio,8.828571428571427,8.842857142857143
Sacnoth,8.8,7.3
Blueshift,8.8,8.5
Infogrames,8.8,7.2
Interactive Brains,8.8,5.7
Spike Chunsoft Co. Ltd./ Spike Chunsoft,8.8,6.9
Dreamworks Interactive,8.8,8.9
Sunrise Interactive,8.8,7.1
Spike/ Namco Bandai Games,8.8,7.25
ThatGameCompany,8.8,9.2
Infogrames Sheffield,8.8,6.2
Capcom/ Pipeworks Software Inc.,8.8,7.4
ProSoft,8.8,8.5
SystemSoft,8.8,7.4
Deadline Games,8.799999999999999,7.2
Monolith Soft,8.77142857142857,8.085714285714285
Orbital Media/ Inc.,8.75,7.65
Valve Software,8.73076923076923,9.138461538461538
Opus/ Project Sora,8.7,8.3
Maximum Games,8.7,6.9
Omiya Soft/ Jamsworks,8.7,7.5
Tate Interactive,8.7,5.8
Irrational Games/ 2K Marin,8.7,9.6
War Drum Studios,8.7,6.4
Nitro+,8.7,8.3
1C/ 1C Company,8.7,8.85
Dearsoft,8.7,6.4
SCS Software,8.7,7.9
Pterodon,8.7,7.4
Aqua Plus,8.7,6.5
Micro Cabin,8.7,6.45
Digital Extremes/ 2K Marin,8.7,9.4
Max Five,8.7,6.2
Nautilus,8.649999999999999,8.05
Seta Corporation,8.649999999999999,6.65
Jester Interactive,8.633333333333333,7.3
JGI Entertainment,8.600000000000001,7.05
Metro,8.600000000000001,7.25
Team 17/ Two Tribes,8.6,8.05
Tarsier Studios/ Double Eleven,8.6,8.8
Harmonix Music Systems/ Backbone Entertainment,8.6,7.9
Game Arts/ Seta Corporation,8.6,6.4
Humongous Entertainment,8.6,5.35
Vogster,8.6,7.8
Black Sea Studios,8.6,7
Lead Pursuit,8.6,9
Katauri Interactive,8.6,8.2
Number None Inc./ Knockout Games,8.6,9
Realism Ltd,8.6,8.2
BioWare/ Demiurge Studios,8.6,8.9
Atlus/ Dingo Inc.,8.6,7.6
Punchline/ Shirogumi,8.6,5.9
Level 5/ Brownie Brown,8.6,7.3
Zoo Games,8.6,4.7
Snap Dragon Games,8.6,7
Game Freak,8.6,8
Ready at Dawn,8.599999999999998,8.72
KCEJ,8.58181818181818,7.9727272727272736
Funcom,8.575,8.025
Indie Built,8.566666666666666,7.933333333333333
Amanita Design,8.55,8.35
Irrational Games,8.525,9.15
Black Isle Studios,8.525,8.225
Naughty Dog,8.52,8.92
Cing,8.5,7.833333333333333
Just Add Monsters,8.5,6.8
Chris Sawyer,8.5,7.4
Zener Works,8.5,7
Digital Fiction,8.5,5.6
Empty Clip Studios,8.5,7.5
Dimps Corporation/ Sonic Team,8.5,8.2
Big Blue Box,8.5,8.5
Hypnos Entertainment,8.5,8.4
Microsoft Game Studios Japan,8.5,8.1
Kuusou Kagaku,8.5,6.55
Next Entertainment,8.5,5.8
Vanguard,8.5,7.9
Direct Action Games,8.5,4.4
Good-Feel,8.5,7.8
KCEK,8.5,9.1
Lancarse/ Atlus,8.5,7.5
Iridon Interactive AB,8.5,6.8
2D Boy,8.5,9
Autumn Moon,8.5,7.5
HAL Labs,8.484615384615385,7.876923076923077
Eighting/Raizing,8.475,7.225
Shaba Games,8.469999999999999,7.58
Media Molecule,8.466666666666667,8.633333333333333
NuFX,8.466666666666667,8.166666666666668
EA Sports Big,8.466666666666667,8.933333333333334
SCE Santa Monica,8.459999999999999,8.72
Clap Hanz,8.457142857142857,7.928571428571429
UGA,8.45,7.85
Atlus Co.,8.4375,8.3625
Petroglyph,8.433333333333335,7.333333333333333
Atlus,8.429411764705883,8.194117647058823
Yager,8.425,7.475
Intelligent Systems,8.405555555555557,8.477777777777778
Prokion,8.4,6.7
Sega/ Sonic Team,8.4,7.3
Digital Anvil,8.4,8.1
Guerilla Cambridge,8.4,7.85
Media Vision/ Contrail,8.4,7.8
Crispy's,8.4,7.4
Million,8.4,7.5
Tose Software,8.4,7.8
Tantatus/ Nintendo,8.4,8.6
The Behemoth,8.4,7.8
Incognito Inc.,8.4,7.7333333333333325
Beep Industries,8.4,7.3
Psyonix,8.4,8.6
Spike Chunsoft/ Chime,8.4,8.2
DMA Design/ Rockstar North,8.4,9.3
PLAYGROUND/ Playground Games,8.4,8.5
Capcom/ Pipeworks Software/ Inc.,8.4,7.7
Agenda,8.4,8.3
Pacific Century Cyber Works,8.4,4.6
SuperVillain Studios,8.399999999999999,7.4
Level 5,8.39375,7.99375
ArenaNet,8.375,8.675
Sucker Punch,8.357142857142858,8.257142857142856
ITL,8.35,7.95
Rocksteady Studios/ Virtuos,8.35,7.5
GSC Game World,8.35,7.775
Camelot Software Planning,8.344444444444443,8.1
ChunSoft,8.34,6.88
8ing/Raizing,8.333333333333334,7.4
Psygnosis,8.333333333333334,9.1
Monster Games Inc.,8.328571428571427,7.628571428571429
Free Radical Design,8.327272727272726,7.99090909090909
Ensemble Studios,8.3,8.559999999999999
Delphine Software International,8.3,5.8
Elixir Studios,8.3,7.5
Edmund McMillen/ Florian Himsl,8.3,8.4
Mistwalker,8.3,7.8
Venan Entertainment/ Cashmere Prod.,8.3,8
Frozenbyte/ Inc.,8.3,8.2
Ice-Pick Lodge,8.3,7.7
Dimps Corporation/ SCE Japan Studio,8.3,7.3
Southend Interactive,8.3,7.4
SEK Ost,8.3,7.1
Related Designs,8.3,7.9
Deep Red,8.3,6.7
SCEI,8.3,7.425
Felistella,8.3,7.4
Cosmigo,8.3,8
Goshow,8.3,5.6
Raylight Studios,8.3,7
Multimedia Intelligence Transfer,8.3,6.2
neo Software,8.3,8.9
Hot Lava Games,8.3,6
Noise Factory,8.3,7.9
Paradox Interactive,8.3,7
Crystal Dynamics/ Nixxes Software,8.299999999999999,8.6
Vanillaware,8.299999999999999,8.42
Rockstar North,8.285714285714286,9.285714285714286
5pb,8.285714285714286,7.328571428571429
Ion Storm,8.275,8.425
Blue Shift,8.266666666666666,7.7333333333333325
Kush Games/ Visual Concepts,8.266666666666666,8.266666666666667
Zipper Interactive,8.2625,7.8
Savage Entertainment,8.25,6.6
Takara,8.25,5.65
Gaijin Games,8.25,7.95
Vanilla Ware,8.25,8.1
Mitchell,8.25,7.05
DMA Design,8.25,8.35
4A Games,8.24,8
Bethesda Softworks,8.225,7.875
Rockstar London,8.200000000000001,7.166666666666667
Game Republic/ JapanStudio,8.2,7.5
Sega/ French-Bread,8.2,6.6
Halfbrick Studios,8.2,7.5
Turbine Inc.,8.2,8.5
Retro Studios/ Entertainment Analysis & Development Division,8.2,8.5
Rockstar Vienna,8.2,7.3
Ironclad Games,8.2,8.7
Neversoft Entertainment/ BudCat,8.2,8.2
Psikyo,8.2,6.3
Boxed Dream,8.2,7.3
Noise Inc.,8.2,6.95
Gearbox Software/ WayForward,8.2,7.6
Vivarium,8.2,7.2
THQ/ 1C/ 1C Company,8.2,7.7
InLight Entertainment,8.2,6.7
G1M2,8.2,5.6
Stainless Steel Studios,8.2,8.1
SCE Japan Studio/ comcept,8.2,7.7
